filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0016.JPEG,11862,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":12,""y"":19,""width"":195,""height"":127}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0017.JPEG,8301,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":7,""y"":85,""width"":154,""height"":133}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0018.JPEG,7295,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":16,""y"":26,""width"":215,""height"":117}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0019.JPEG,8272,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":182,""y"":93,""width"":56,""height"":72}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0020.JPEG,12353,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":8,""y"":30,""width"":296,""height"":86}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0021.JPEG,12566,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0022.JPEG,9080,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0023.JPEG,9416,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0024.JPEG,14797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0025.JPEG,6245,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":114,""y"":62,""width"":70,""height"":60}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0026.JPEG,9684,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":6,""y"":96,""width"":179,""height"":79}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0027.JPEG,6139,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":94,""y"":50,""width"":100,""height"":88}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0028.JPEG,6477,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":50,""y"":12,""width"":100,""height"":76}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0029.JPEG,5763,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":122,""y"":66,""width"":54,""height"":60}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0030.JPEG,11358,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":30,""y"":27,""width"":185,""height"":122}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0031.JPEG,5336,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":76,""y"":32,""width"":106,""height"":77}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0032.JPEG,12792,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":171,""y"":52,""width"":59,""height"":79}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0033.JPEG,11122,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":89,""y"":54,""width"":93,""height"":103}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0034.JPEG,7001,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":122,""y"":40,""width"":102,""height"":84}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0035.JPEG,10628,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":29,""y"":58,""width"":135,""height"":93}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0036.JPEG,7334,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":94,""y"":77,""width"":96,""height"":77}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0037.JPEG,11348,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0038.JPEG,11032,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":117,""y"":73,""width"":111,""height"":92}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0039.JPEG,9712,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":86,""y"":13,""width"":116,""height"":138}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0040.JPEG,5919,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":112,""y"":22,""width"":79,""height"":104}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0041.JPEG,9689,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":66,""y"":9,""width"":109,""height"":83}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0042.JPEG,10426,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":18,""y"":41,""width"":104,""height"":98}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0043.JPEG,6559,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0044.JPEG,7595,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":46,""y"":4,""width"":176,""height"":77}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0045.JPEG,8404,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":9,""y"":6,""width"":188,""height"":103}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0046.JPEG,9657,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":71,""y"":10,""width"":144,""height"":120}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0047.JPEG,10132,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":62,""y"":86,""width"":112,""height"":80}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0048.JPEG,5391,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":129,""y"":26,""width"":134,""height"":106}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0049.JPEG,5157,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":76,""y"":46,""width"":106,""height"":76}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0050.JPEG,8465,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":127,""y"":63,""width"":67,""height"":79}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0051.JPEG,7459,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":146,""y"":41,""width"":59,""height"":52}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0052.JPEG,11453,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":47,""y"":39,""width"":103,""height"":86}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0053.JPEG,7979,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":23,""y"":38,""width"":184,""height"":126}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0054.JPEG,7536,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":38,""y"":22,""width"":87,""height"":98}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0055.JPEG,8675,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0056.JPEG,7672,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0057.JPEG,5129,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":114,""y"":70,""width"":61,""height"":60}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0058.JPEG,8586,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0059.JPEG,8247,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":77,""y"":42,""width"":99,""height"":89}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0060.JPEG,11035,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0061.JPEG,9680,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":47,""y"":56,""width"":141,""height"":51}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0062.JPEG,7558,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":116,""y"":46,""width"":61,""height"":96}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0063.JPEG,6188,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0064.JPEG,6360,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0065.JPEG,6252,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0066.JPEG,10541,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":84,""y"":59,""width"":102,""height"":42}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0067.JPEG,8704,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":39,""y"":20,""width"":199,""height"":77}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0068.JPEG,10043,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0069.JPEG,10694,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":51,""y"":18,""width"":161,""height"":95}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0070.JPEG,11633,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0071.JPEG,7880,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":65,""y"":17,""width"":85,""height"":63}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0072.JPEG,6830,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":102,""y"":70,""width"":38,""height"":43}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0073.JPEG,4972,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":78,""y"":43,""width"":56,""height"":51}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0074.JPEG,8802,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":58,""y"":62,""width"":141,""height"":48}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0075.JPEG,7892,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0076.JPEG,10337,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":86,""y"":69,""width"":68,""height"":41}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0077.JPEG,8387,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0078.JPEG,8842,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0079.JPEG,10178,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":112,""y"":63,""width"":128,""height"":50}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0080.JPEG,7758,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0081.JPEG,7709,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":43,""y"":50,""width"":158,""height"":60}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0082.JPEG,5705,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0083.JPEG,7774,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0084.JPEG,7715,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0085.JPEG,10457,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0086.JPEG,9362,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0087.JPEG,8621,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0088.JPEG,11738,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0089.JPEG,9234,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0090.JPEG,9916,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0091.JPEG,10593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0092.JPEG,7795,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0093.JPEG,11314,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0094.JPEG,9495,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":134,""y"":82,""width"":93,""height"":58}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0095.JPEG,9876,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":52,""y"":24,""width"":150,""height"":62}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0096.JPEG,7539,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":78,""y"":66,""width"":126,""height"":96}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0097.JPEG,10549,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":76,""y"":41,""width"":130,""height"":95}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0098.JPEG,6221,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":94,""y"":24,""width"":67,""height"":63}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0099.JPEG,9136,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":154,""y"":72,""width"":85,""height"":82}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0100.JPEG,6439,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":81,""y"":105,""width"":145,""height"":72}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0101.JPEG,10566,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":6,""y"":37,""width"":150,""height"":90}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0102.JPEG,8901,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0103.JPEG,8725,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":94,""y"":9,""width"":76,""height"":129}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0104.JPEG,8457,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":124,""y"":71,""width"":48,""height"":39}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0105.JPEG,11273,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":90,""y"":61,""width"":76,""height"":113}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0106.JPEG,8008,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":94,""y"":42,""width"":154,""height"":68}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0107.JPEG,9196,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":139,""y"":88,""width"":84,""height"":59}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0108.jpeg,9030,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":224,""y"":46,""width"":62,""height"":96}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0109.JPEG,7648,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":94,""y"":90,""width"":45,""height"":53}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0110.JPEG,4732,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":74,""y"":124,""width"":41,""height"":63}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0111.JPEG,9493,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":70,""y"":90,""width"":98,""height"":87}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0112.JPEG,9889,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":72,""y"":63,""width"":79,""height"":63}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0113.JPEG,8123,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":64,""y"":39,""width"":66,""height"":67}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0114.JPEG,4486,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":109,""y"":86,""width"":61,""height"":78}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0115.JPEG,6575,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":118,""y"":47,""width"":38,""height"":54}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0116.JPEG,9197,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":69,""y"":68,""width"":61,""height"":94}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0117.JPEG,8278,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0118.JPEG,9241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":110,""y"":85,""width"":84,""height"":58}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0119.JPEG,9106,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":152,""y"":46,""width"":32,""height"":36}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0120.JPEG,6368,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":94,""y"":100,""width"":124,""height"":41}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0121.JPEG,8830,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":77,""y"":91,""width"":85,""height"":70}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
